#Name:: Glass2_UV;Timestamp:: 2026-Feb-13 14:03:57;Device:: Ossila Spectrometer (COM3);Colour:: (32: 141: 194);Integration Time (ms):: 60.0;Accumulation Number:: 1;Averaging Number:: #1;Delay Time:: 0;Trigger Mode:: Internal;Measurement Type:: Transmission/Reflection;Comments:: 
#Wavelength (nm),Intensity,Smoothed,Background,Reference
456.39,0.06647208360794653,0.06396071247539639,1632.0,31863.0
456.9,0.06621054954756124,0.06510919792679047,1637.0,31717.0
457.41,0.06473764709554578,0.0660710393024987,1677.0,32037.0
457.92,0.06608026043949164,0.06711734114917785,1684.0,31946.0
458.43,0.06555437963020606,0.06785627990302343,1643.0,32126.0
458.94,0.06657814285273136,0.06866140019597085,1675.0,32383.0
459.45,0.0691211029296569,0.06938382654813785,1682.0,31915.0
459.96,0.071928828317244,0.07008219949786701,1613.0,31698.0
460.47,0.07074916494353428,0.0708245630561135,1709.0,31435.0
460.98,0.07113063966631643,0.07195000037768687,1717.0,31407.0
461.5,0.07452328653742081,0.07285304528095789,1659.0,31413.0
462.01,0.07343481306923126,0.07374055655240644,1667.0,31402.0
462.52,0.0717213765928374,0.07440380091820013,1671.0,31469.0
463.03,0.07350389602195653,0.07554534337409238,1634.0,31699.0
463.54,0.0768087528459398,0.07655076541952875,1628.0,31624.0
464.05,0.07560859188544153,0.07734833280238179,1691.0,31425.0
464.56,0.07799621564414226,0.07826249776138505,1683.0,31181.0
465.07,0.07856127197518097,0.07927526393271388,1696.0,30944.0
465.58,0.08216458950245681,0.08003368011284212,1654.0,30731.0
466.09,0.0811848601206802,0.0806217558545937,1658.0,30991.0
466.6,0.08249896036595118,0.08133833072661614,1633.0,31261.0
467.11,0.08257646265926377,0.08217414174665424,1652.0,31159.0
467.62,0.08184903830612575,0.08322207958978654,1689.0,30935.0
468.13,0.08108805782323901,0.08395191699571145,1679.0,30991.0
468.64,0.08268951026345563,0.08456364099979852,1672.0,30935.0
469.15,0.08277434060566591,0.0851670852047759,1711.0,30710.0
469.66,0.0863543258445232,0.08574946877313949,1665.0,30757.0
470.17,0.08904065040650407,0.08672363150966203,1623.0,30750.0
470.68,0.08946296356170584,0.08755611699421079,1626.0,30929.0
471.19,0.08730210016155089,0.08885079878163633,1659.0,30950.0
471.7,0.08853340241572488,0.09036293471192061,1667.0,30881.0
472.21,0.08840029834289977,0.09127458586810043,1674.0,30837.0
472.72,0.09159066567135114,0.09169397211135125,1704.0,30811.0
473.23,0.08941291266872663,0.09260757010173708,1715.0,30745.0
473.74,0.09563632813771111,0.09400083304926062,1650.0,30731.0
474.25,0.09789569990850869,0.09529113413168643,1652.0,30604.0
474.76,0.09547083740632127,0.09671566507352969,1688.0,30690.0
475.27,0.09323451283901223,0.0976347130744277,1674.0,30493.0
475.78,0.09859894346556419,0.0987706819165888,1675.0,30477.0
476.29,0.10123472963678642,0.09968099689891068,1644.0,30533.0
476.8,0.10143641323998291,0.1000502522002384,1640.0,30423.0
477.31,0.1026456077613324,0.10105181855316414,1620.0,30201.0
477.81,0.10078114568033116,0.10217697601429415,1692.0,29956.0
478.32,0.10077260109033746,0.1026470148836729,1690.0,29899.0
478.83,0.10473947796092999,0.10291529034090541,1626.0,30151.0
479.34,0.10158825292178604,0.10318725890497313,1665.0,30033.0
479.85,0.10548650093557872,0.10342176766022204,1680.0,29928.0
480.36,0.10448608745031232,0.10377597108153463,1659.0,29937.0
480.87,0.10329933215935143,0.10434906999266785,1682.0,30097.0
481.38,0.10391748420911168,0.1045090196837349,1745.0,29764.0
481.89,0.1041560988806601,0.10510262489956672,1683.0,29571.0
482.4,0.10499069531382169,0.10534749456661147,1655.0,29555.0
482.9,0.10432317989345717,0.10568390624515488,1670.0,29284.0
483.41,0.1065035902016697,0.10604154842125833,1651.0,29107.0
483.92,0.10633897487160043,0.10669227640234608,1654.0,29011.0
484.43,0.10752430508010406,0.107223750410735,1625.0,29212.0
484.94,0.10793519760602621,0.10769184485275322,1663.0,29073.0
485.45,0.1078502042357464,0.10831810856947123,1681.0,29133.0
485.95,0.10687575392038601,0.10839826455894348,1715.0,29015.0
