#Name:: Glass1_UV;Timestamp:: 2026-Feb-13 14:02:25;Device:: Ossila Spectrometer (COM3);Colour:: (57: 207: 25);Integration Time (ms):: 60.0;Accumulation Number:: 1;Averaging Number:: 1;Delay #Time:: 0;Trigger Mode:: Internal;Measurement Type:: Transmission/Reflection;Comments:: 
#Wavelength (nm),Intensity,Smoothed,Background,Reference
445.64,0.07042809831981284,0.07001057039679813,1658.0,32913.0
446.15,0.0703122665471388,0.07192583129977542,1643.0,33465.0
446.66,0.07311131576602002,0.07339484800260616,1655.0,33661.0
447.17,0.07284416656836144,0.07459916053218912,1699.0,33908.0
447.69,0.07598024978216672,0.07583961503154835,1658.0,34430.0
448.2,0.07619539043687651,0.07718341775307794,1659.0,34884.0
448.71,0.07977736549165121,0.07859409080239967,1672.0,35035.0
449.22,0.08013222386868803,0.0796448051742246,1655.0,35092.0
449.73,0.07970544254154557,0.08126226026398277,1650.0,35443.0
450.25,0.07990963099322232,0.08274871358803791,1667.0,35853.0
450.76,0.0838661255351087,0.08407004594166528,1673.0,35974.0
451.27,0.08441899704035627,0.08502857240978384,1667.0,36153.0
451.78,0.08361845948426938,0.0861999464323984,1697.0,35949.0
452.29,0.08901871746594307,0.08802794200368161,1672.0,36116.0
452.8,0.09084478302271799,0.08985510086962974,1656.0,36755.0
453.32,0.08940871397315038,0.09115485022295151,1727.0,37021.0
453.83,0.08936263017283681,0.09271213448105173,1726.0,36682.0
454.34,0.09184596409483349,0.09422884424213654,1699.0,36485.0
454.85,0.09798539825437778,0.09518441620200586,1624.0,36434.0
455.36,0.09818121965270347,0.09625618789973407,1625.0,36453.0
455.87,0.09686361906832636,0.09749500525582833,1649.0,36794.0
456.39,0.09999183962135844,0.09899497572168464,1632.0,36763.0
456.9,0.09878555709511777,0.1006416948892796,1637.0,36807.0
457.41,0.09857443706463632,0.10168388698242128,1677.0,37038.0
457.92,0.1015625,0.10261003827059513,1684.0,37120.0
458.43,0.10179688753409273,0.10378901623071751,1643.0,37398.0
458.94,0.1043623348314002,0.1048368209453499,1675.0,37159.0
459.45,0.10831315577078289,0.10624297802318663,1682.0,37170.0
459.96,0.10840731918579471,0.10766424251594836,1613.0,36944.0
460.47,0.107442732534442,0.10898555066818164,1709.0,36801.0
460.98,0.10865339866955022,0.1103705993034153,1717.0,36529.0
461.5,0.1104698867676823,0.11167508921632499,1659.0,36562.0
462.01,0.11284712787348514,0.11240478702568324,1667.0,36802.0
462.52,0.11278708199225355,0.11316361078608184,1671.0,36662.0
463.03,0.11477558152233264,0.11447034828053541,1634.0,36628.0
463.54,0.11564737388642947,0.11573701614625093,1628.0,36594.0
464.05,0.11740723396049696,0.1169994912264736,1691.0,36301.0
464.56,0.11561013386436553,0.11836340322877444,1683.0,36156.0
465.07,0.11599555678978062,0.11941571490300562,1696.0,36010.0
465.58,0.12051010747897756,0.12003209455021292,1654.0,35914.0
466.09,0.12132007732670533,0.12080416099564699,1658.0,36210.0
466.6,0.12309463756990899,0.12168772786410359,1633.0,36476.0
467.11,0.1264862478964937,0.12312079665721148,1652.0,36249.0
467.62,0.12331019873456532,0.1244036615497261,1689.0,35877.0
468.13,0.12093937799440582,0.12542578880227567,1679.0,36109.0
468.64,0.12336803834077012,0.12655616453585247,1672.0,36306.0
469.15,0.12624290264506302,0.12784441063825366,1711.0,36105.0
469.66,0.1299408217954444,0.12855245858351536,1665.0,35824.0
470.17,0.12882420571492667,0.12948153635763981,1623.0,35661.0
470.68,0.13073138000447326,0.13100649233639788,1626.0,35768.0
471.19,0.13262383466247332,0.13253459881622223,1659.0,35612.0
471.7,0.13597709859392101,0.13387617539862365,1667.0,35631.0
472.21,0.13356672734911076,0.13513519355729792,1674.0,35705.0
472.72,0.13260097647581004,0.13640817934823127,1704.0,36048.0
473.23,0.1361889377819863,0.1375552767484177,1715.0,35906.0
473.74,0.13864910313901346,0.13839229306901055,1650.0,35680.0
474.25,0.1396586684690774,0.13923968339791062,1652.0,35508.0
474.76,0.14253100338218716,0.1403709969330224,1688.0,35480.0
475.27,0.14155406362425993,0.14155142564649756,1674.0,35301.0
475.78,0.1422023540063377,0.1426606329005347,1675.0,35344.0
476.29,0.14099399786840186,0.14326883776610574,1644.0,35654.0
476.8,0.14445100188292162,0.14408337145016126,1640.0,35583.0
477.31,0.14487986270022885,0.14480547581728218,1620.0,34960.0
477.81,0.14440526361056163,0.14579306733958858,1692.0,34881.0
478.32,0.1472810103223574,0.14663145113131257,1690.0,34682.0
478.83,0.14473115179472396,0.14733081474339182,1626.0,34685.0
479.34,0.14780400530963236,0.14789360421672085,1665.0,34654.0
479.85,0.14975204705339637,0.14832832028469556,1680.0,34684.0
480.36,0.15142997884732404,0.14877135094105445,1659.0,34511.0
480.87,0.15058619192357794,0.14881680992640628,1682.0,34545.0
481.38,0.14798763398919418,0.14968401661316744,1745.0,34611.0
481.89,0.1500788966162118,0.15050207168065982,1683.0,34222.0
482.4,0.14922702337997595,0.1507994011895722,1655.0,34089.0
482.9,0.14883557017415053,0.1505332883189774,1670.0,34051.0
483.41,0.14773560017587573,0.15049287570467107,1651.0,34115.0
483.92,0.15340321866233575,0.15102922499851557,1654.0,33865.0
484.43,0.155984555984556,0.15110865029124243,1625.0,33670.0
484.94,0.15272534214252007,0.15123923392127323,1663.0,33904.0
485.45,0.14876885014137606,0.15186688553865832,1681.0,33952.0
485.95,0.15018206578051452,0.15256428406721637,1715.0,33779.0
486.46,0.1533511269276394,0.15281076107622327,1682.0,33720.0
486.97,0.1508731495434802,0.15245383052315592,1646.0,33843.0
487.48,0.15053285968028418,0.15229052142320929,1704.0,33780.0
487.99,0.15511208634800142,0.15226693895222235,1656.0,33724.0
488.5,0.15470958546145622,0.15228143145386197,1671.0,33676.0
489.0,0.1558679887524049,0.15161778060114756,1622.0,33785.0
489.51,0.15241525045388254,0.15105405764231986,1603.0,33599.0
490.02,0.15109225114305352,0.1503030282063579,1624.0,33463.0
490.53,0.14853302543150665,0.1493440031392854,1640.0,33777.0
491.04,0.15032699079691061,0.1482421791082597,1644.0,33793.0
491.54,0.14671461840049524,0.1465647522596605,1586.0,33923.0
492.05,0.1452359199552032,0.145204884019006,1671.0,33931.0
492.56,0.1430225653206651,0.14360019861615714,1694.0,33680.0
493.07,0.14552183567727608,0.14239163560911455,1635.0,33775.0
493.57,0.14369134515119916,0.14083774426335746,1641.0,33565.0
494.08,0.13909372026641295,0.13919868779785788,1667.0,33632.0
