Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.985649619570451829e+00,-1.199999999999999678e-02,1.792122544590333925e-03
2.981916121585225454e+00,-2.460000000000000381e-02,1.830361412272708778e-03
2.978263480244986106e+00,-2.339999999999999719e-02,1.868960314261596369e-03
2.974548420370858981e+00,8.000000000000041583e-04,1.909475594011623197e-03
2.970913795581963779e+00,1.119999999999999989e-02,1.950392501794598939e-03
2.967217037568796734e+00,1.779999999999999638e-02,1.993362418542377664e-03
2.963600296360029418e+00,2.079999999999999905e-02,2.036780442631605167e-03
2.959921705296827632e+00,2.899999999999999453e-02,2.082400655809555842e-03
2.956322716002288686e+00,3.119999999999999510e-02,2.128520980363074640e-03
2.952662158300790818e+00,3.339999999999999913e-02,2.177006636905972400e-03
2.949080790543915143e+00,4.860000000000000431e-02,2.226050667008721944e-03
2.945438133922420931e+00,6.479999999999999649e-02,2.277638737453898526e-03
2.941874258600237102e+00,7.699999999999999900e-02,2.329850545103099441e-03
2.938318997180161762e+00,7.420000000000000207e-02,2.383728928032483214e-03
2.934702861335289903e+00,6.439999999999998503e-02,2.440451603947449942e-03
2.931164901664145006e+00,7.940000000000001223e-02,2.497911142960520386e-03
2.927566342430824253e+00,6.380000000000000948e-02,2.558441018897939911e-03
2.924045558516282561e+00,7.740000000000001046e-02,2.619795411146892423e-03
2.920464448055771545e+00,7.560000000000000053e-02,2.684469302338703643e-03
2.916960715125852754e+00,5.560000000000000359e-02,2.750066573949054745e-03
2.913396926836144818e+00,3.219999999999999252e-02,2.819258518744000280e-03
2.909910121324478460e+00,2.500000000000000139e-02,2.889485540809092184e-03
2.906431651978248709e+00,1.580000000000000154e-02,2.962161506089692770e-03
2.902893529356681324e+00,1.240000000000000130e-02,3.038899443282832603e-03
2.899431804896298370e+00,1.419999999999999561e-02,3.116867582814052823e-03
2.895910693850860529e+00,4.200000000000001475e-03,3.199253371372437135e-03
2.892465593655237033e+00,1.379999999999999977e-02,3.283022008165484805e-03
2.888961371790689903e+00,-5.600000000000000810e-03,3.371603973335208799e-03
2.885532776394480248e+00,6.200000000000005854e-03,3.461742364652701555e-03
2.882112309408702000e+00,2.100000000000000130e-02,3.555266504825575942e-03
2.878633113566719359e+00,2.819999999999999590e-02,3.654282352872894116e-03
2.875228974888121236e+00,2.039999999999999453e-02,3.755160453803706860e-03
2.871832877854463284e+00,1.199999999999999505e-02,3.859956362312694494e-03
2.868378440897524584e+00,1.440000000000000134e-02,3.971046472595519787e-03
2.864998498186271281e+00,1.379999999999999630e-02,4.084372353918456350e-03
2.861560473542104077e+00,5.199999999999995424e-03,4.204612035543025053e-03
2.858196570164115879e+00,1.199999999999997510e-03,4.327383469973518186e-03
2.854840566363531451e+00,6.599999999999995627e-03,4.455207667022710594e-03
2.851426863200496875e+00,-4.599999999999999922e-03,4.591021179211970601e-03
2.848086728834581471e+00,-1.479999999999999892e-02,4.729893821995895600e-03
2.844754410516414644e+00,-1.679999999999999549e-02,4.874692318089279656e-03
2.841364771659677491e+00,-1.419999999999999908e-02,5.028772115869436371e-03
2.838048155268698913e+00,-1.060000000000000005e-02,5.186564186403219527e-03
2.834739272569325230e+00,-1.879999999999999727e-02,5.351344870958769581e-03
2.831373444457129906e+00,-2.820000000000000284e-02,5.526968649335604541e-03
2.828080098526661423e+00,-3.200000000000000067e-02,5.707118199921656226e-03
2.824794405084629645e+00,-2.879999999999999574e-02,5.895558296248106303e-03
2.821516337489760495e+00,-2.819999999999999937e-02,6.092783334106683345e-03
2.818181818181818343e+00,-2.959999999999999784e-02,6.303470304784193796e-03
2.814919071076706469e+00,-3.440000000000000696e-02,6.520094851177854478e-03
2.811663870119268882e+00,-3.640000000000000180e-02,6.747227809896391010e-03
2.808352584137337349e+00,-3.199999999999999373e-02,6.990316343493892942e-03
2.805112543829883620e+00,-3.019999999999999421e-02,7.240731296471318232e-03
2.801879971077367859e+00,-3.960000000000000325e-02,7.503799324537785767e-03
2.798654840092987595e+00,-2.399999999999999356e-02,7.780343287216787140e-03
2.795374106720169838e+00,-1.159999999999999573e-02,8.077104441422140041e-03
2.792163927043458393e+00,-1.479999999999999719e-02,8.383642834083765774e-03
2.788961111985785113e+00,-1.119999999999999989e-02,8.706557019941725539e-03
2.785765636232925946e+00,-3.999999999999958992e-04,9.046966116968747224e-03
2.782515034557041744e+00,3.660000000000000753e-02,9.413317473167193833e-03
2.779334304606074113e+00,5.360000000000000875e-02,9.792852929016155131e-03
2.776160838221465976e+00,6.020000000000000351e-02,1.019385057284278792e-02
2.772994610550797212e+00,5.299999999999999850e-02,1.061784965952401738e-02
2.769773727355982817e+00,5.359999999999999487e-02,1.107557503438344991e-02
2.766622043730477376e+00,5.399999999999999939e-02,1.155126340283304555e-02
2.763477524459004631e+00,3.859999999999998849e-02,1.205543727470922977e-02
2.760340145140465662e+00,2.579999999999999655e-02,1.259023318003308842e-02
2.757209881484445901e+00,1.839999999999999275e-02,1.315797146057356981e-02
2.754025541365908047e+00,-1.600000000000003112e-03,1.377337258779716585e-02
2.750909574940101354e+00,-1.499999999999999598e-02,1.441555251902838612e-02
2.747800651494670898e+00,-2.079999999999998864e-02,1.509896822542267612e-02
2.744698747177829912e+00,-3.559999999999999276e-02,1.582685463497922329e-02
2.741603838245373570e+00,-3.179999999999998800e-02,1.660272296065693626e-02
