Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.459243980802030549e+00,7.820000000000000562e-02,3.142043685456525487e-02
2.456759059299030934e+00,7.099999999999999367e-02,3.549817736888945252e-02
2.454327731924073941e+00,6.939999999999998948e-02,4.008126499711438945e-02
2.451852730652113621e+00,6.939999999999998948e-02,4.541585141381809798e-02
2.449382716049382847e+00,6.179999999999999383e-02,5.148590252269175799e-02
2.446965959546127500e+00,7.080000000000000182e-02,5.822483125138395305e-02
2.444505776130584174e+00,8.039999999999999925e-02,6.598682372472293445e-02
2.442050534690903607e+00,8.980000000000000482e-02,7.474399554690387693e-02
2.439648218466563101e+00,1.038000000000000173e-01,8.440753398875655567e-02
2.437202720232713560e+00,9.900000000000000466e-02,9.550173905796684182e-02
2.434809927741124813e+00,1.160000000000000059e-01,1.077566988589668678e-01
2.432374114831597378e+00,1.237999999999999934e-01,1.218746786516472919e-01
2.429943170683911191e+00,1.481999999999999984e-01,1.378971464572379124e-01
2.427564604541895044e+00,1.872000000000000053e-01,1.557863711199076184e-01
2.425143259470771362e+00,2.159999999999999976e-01,1.766848826045249454e-01
2.422774076317383507e+00,2.220000000000000029e-01,2.002916905994360230e-01
2.420362273579012680e+00,2.345999999999999752e-01,2.282057819582077873e-01
2.418002418002417553e+00,2.433999999999999775e-01,2.601026064787823611e-01
2.415600101299359093e+00,2.614000000000000212e-01,2.981927713805170854e-01
2.413202553323991584e+00,3.104000000000000092e-01,3.429824293849342287e-01
2.410856631799976668e+00,3.661999999999999700e-01,3.945817614172207888e-01
2.408468485966786421e+00,4.286000000000000365e-01,4.563631194912116662e-01
2.406131755117880910e+00,5.106000000000000538e-01,5.272286737845937044e-01
2.403752956228434101e+00,5.794000000000000261e-01,6.113572290214599469e-01
2.401425362150437781e+00,6.727999999999999536e-01,7.066571988247760672e-01
2.399055855437537410e+00,7.990000000000000435e-01,8.179698773475801987e-01
2.396737344646964640e+00,9.304000000000000048e-01,9.416116443894310128e-01
2.394377075770448560e+00,1.096600000000000019e+00,1.082773495637386674e+00
2.392067595200431995e+00,1.261399999999999855e+00,1.235598671633339585e+00
2.389716510243018899e+00,1.422800000000000065e+00,1.405190458988947899e+00
2.387416007239261617e+00,1.577599999999999891e+00,1.583177467013126227e+00
2.385074052702442771e+00,1.776400000000000201e+00,1.774117986482263820e+00
2.382782475019216140e+00,1.963399999999999812e+00,1.967268009470167112e+00
2.380449597819201291e+00,2.161399999999999988e+00,2.166296942146121118e+00
2.378166893615389021e+00,2.345600000000000129e+00,2.358877380535696844e+00
2.375843041079092721e+00,2.547999999999999599e+00,2.547664499356217860e+00
2.373569158914283772e+00,2.730999999999999872e+00,2.720165426700745570e+00
2.371254278775362323e+00,2.881199999999999761e+00,2.878136758546870677e+00
2.368989167605983770e+00,3.019399999999999640e+00,3.010719201693161651e+00
2.366728379745385968e+00,3.123199999999999310e+00,3.117206896680216222e+00
2.364426817176416673e+00,3.213999999999999968e+00,3.195646015342012536e+00
2.362174724730444986e+00,3.256799999999999695e+00,3.240742015883441240e+00
2.359882005899704982e+00,3.268399999999999750e+00,3.253191358100477437e+00
2.357638558798364592e+00,3.234799999999999898e+00,3.232618732274136875e+00
2.355354632830604089e+00,3.189200000000000035e+00,3.179516401489278277e+00
2.353119781387581266e+00,3.094800000000000217e+00,3.098320708119499223e+00
2.350889166951048104e+00,2.973000000000000309e+00,2.991511718098816885e+00
2.348618292706024846e+00,2.834999999999999964e+00,2.860234817620052272e+00
2.346396200351959394e+00,2.695200000000000262e+00,2.714085967201477878e+00
2.344133993723770182e+00,2.532399999999999984e+00,2.552019532197459917e+00
2.341920374707259889e+00,2.352600000000000247e+00,2.385053619101998201e+00
2.339710932488018535e+00,2.184799999999999631e+00,2.214480987177229743e+00
2.337461592112952236e+00,2.030800000000000161e+00,2.040886918685702600e+00
2.335260551046158817e+00,1.890800000000000036e+00,1.874562329635487190e+00
2.333019755409219353e+00,1.727200000000000069e+00,1.711782925723838833e+00
2.330827067669173136e+00,1.572200000000000042e+00,1.561115387713060798e+00
2.328638497652582018e+00,1.425200000000000022e+00,1.420787366368103211e+00
2.326410386296692501e+00,1.310000000000000275e+00,1.289224048667877875e+00
2.324230098779779041e+00,1.188799999999999857e+00,1.171937760505242787e+00
2.322053894121832940e+00,1.097599999999999909e+00,1.066126199661065810e+00
2.319838359649779136e+00,1.014199999999999990e+00,9.695366262384019773e-01
2.317670367462898451e+00,9.193999999999999950e-01,8.852172789533471198e-01
2.315506423662981650e+00,8.401999999999999469e-01,8.102667606195481653e-01
2.313303359886573762e+00,7.600000000000000089e-01,7.424420707120082952e-01
2.311147559316347966e+00,6.977999999999998648e-01,6.833718716101456758e-01
2.308995773048060585e+00,6.329999999999998961e-01,6.306604254214507321e-01
2.306805074971165048e+00,5.834000000000001407e-01,5.824925419886050060e-01
2.304661363467400470e+00,5.315999999999999615e-01,5.399156427390903179e-01
2.302521632562112508e+00,4.747999999999999998e-01,5.012112359491385227e-01
2.300385871178391550e+00,4.388000000000000234e-01,4.657645184825013329e-01
2.298211472523399301e+00,4.138000000000000012e-01,4.324365028379237863e-01
2.296083695954078685e+00,3.976000000000000090e-01,4.021149434612412699e-01
2.293959855702525363e+00,3.656000000000000361e-01,3.737947262167957696e-01
