Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.821516337489760495e+00,-2.399999999999999790e-03,1.179575508806289183e-02
2.818181818181818343e+00,-5.400000000000000286e-03,1.218067152824464996e-02
2.814919071076706469e+00,7.400000000000000328e-03,1.257581362416261908e-02
2.811663870119268882e+00,1.580000000000000154e-02,1.298950008301795120e-02
2.808352584137337349e+00,6.799999999999999621e-03,1.343160019604562258e-02
2.805112543829883620e+00,1.860000000000000195e-02,1.388639099770487204e-02
2.801879971077367859e+00,2.520000000000000018e-02,1.436354083873065020e-02
2.798654840092987595e+00,6.400000000000000307e-03,1.486452641294223886e-02
2.795374106720169838e+00,8.199999999999998956e-03,1.540153659103373623e-02
2.792163927043458393e+00,-8.999999999999999320e-03,1.595568563718265803e-02
2.788961111985785113e+00,-3.599999999999999901e-03,1.653893922253758461e-02
2.785765636232925946e+00,1.880000000000000074e-02,1.715335967487728944e-02
2.782515034557041744e+00,6.220000000000000528e-02,1.781424957421288979e-02
2.779334304606074113e+00,1.255999999999999894e-01,1.849869079540571518e-02
2.776160838221465976e+00,1.718000000000000083e-01,1.922175260410640199e-02
2.772994610550797212e+00,1.756000000000000061e-01,1.998639085265397491e-02
2.769773727355982817e+00,1.789999999999999925e-01,2.081219650969334811e-02
2.766622043730477376e+00,1.925999999999999934e-01,2.167104533016086382e-02
2.763477524459004631e+00,2.086000000000000076e-01,2.258231921728073160e-02
2.760340145140465662e+00,2.220000000000000029e-01,2.355038798159965474e-02
2.757209881484445901e+00,2.224000000000000143e-01,2.458009458817903004e-02
2.754025541365908047e+00,1.970000000000000084e-01,2.569903310837545404e-02
2.750909574940101354e+00,1.340000000000000080e-01,2.687026558643429430e-02
2.747800651494670898e+00,7.979999999999999594e-02,2.812134217252409973e-02
2.744698747177829912e+00,4.539999999999999591e-02,2.945977752810816433e-02
2.741603838245373570e+00,2.760000000000000300e-02,3.089401512532638158e-02
2.738515901060070590e+00,9.599999999999999159e-03,3.243357270989801616e-02
